board_no,board_id,board_title,row,column,logo_label,link_mode,target,href
3,us-uk-retailers,アメリカ・イギリス,4,3,Sainsbury’s,direct,mb-retail-0469,retail-sales-v273-db-title-r27.html?focus=mb-retail-0469#mb-retail-0469
3,us-uk-retailers,アメリカ・イギリス,4,4,REWE,direct,mb-retail-0764,retail-sales-v273-db-title-r27.html?focus=mb-retail-0764#mb-retail-0764
4,global-majors,世界の大手小売,1,1,Carrefour,direct,mb-retail-0111,retail-sales-v273-db-title-r27.html?focus=mb-retail-0111#mb-retail-0111
4,global-majors,世界の大手小売,1,2,Walmart,direct,mb-retail-0061,retail-sales-v273-db-title-r27.html?focus=mb-retail-0061#mb-retail-0061
4,global-majors,世界の大手小売,1,3,Costco,direct,mb-retail-0084,retail-sales-v273-db-title-r27.html?focus=mb-retail-0084#mb-retail-0084
4,global-majors,世界の大手小売,1,4,Ahold Delhaize,search,Ahold Delhaize,retail-sales-v273-db-title-r27.html?q=Ahold Delhaize
4,global-majors,世界の大手小売,2,1,ALDI,direct,mb-retail-0132,retail-sales-v273-db-title-r27.html?focus=mb-retail-0132#mb-retail-0132
4,global-majors,世界の大手小売,2,2,Lidl,direct,mb-retail-0159,retail-sales-v273-db-title-r27.html?focus=mb-retail-0159#mb-retail-0159
4,global-majors,世界の大手小売,2,3,REWE,direct,mb-retail-0764,retail-sales-v273-db-title-r27.html?focus=mb-retail-0764#mb-retail-0764
4,global-majors,世界の大手小売,2,4,EDEKA,direct,mb-retail-0750,retail-sales-v273-db-title-r27.html?focus=mb-retail-0750#mb-retail-0750
4,global-majors,世界の大手小売,3,1,METRO,direct,mb-retail-0203,retail-sales-v273-db-title-r27.html?focus=mb-retail-0203#mb-retail-0203
4,global-majors,世界の大手小売,3,2,Tesco,direct,mb-retail-0174,retail-sales-v273-db-title-r27.html?focus=mb-retail-0174#mb-retail-0174
4,global-majors,世界の大手小売,3,3,Sainsbury’s,direct,mb-retail-0469,retail-sales-v273-db-title-r27.html?focus=mb-retail-0469#mb-retail-0469
4,global-majors,世界の大手小売,3,4,Auchan,direct,mb-retail-0277,retail-sales-v273-db-title-r27.html?focus=mb-retail-0277#mb-retail-0277
4,global-majors,世界の大手小売,4,1,Géant UAE,direct,mb-retail-0413,retail-sales-v273-db-title-r27.html?focus=mb-retail-0413#mb-retail-0413
4,global-majors,世界の大手小売,4,2,Coop Switzerland,direct,mb-retail-0663,retail-sales-v273-db-title-r27.html?focus=mb-retail-0663#mb-retail-0663
4,global-majors,世界の大手小売,4,3,Shaw’s / Albertsons,direct,mb-retail-0429,retail-sales-v273-db-title-r27.html?focus=mb-retail-0429#mb-retail-0429
4,global-majors,世界の大手小売,4,4,Colruyt,direct,mb-retail-0347,retail-sales-v273-db-title-r27.html?focus=mb-retail-0347#mb-retail-0347
5,japan-supermarkets,日本のスーパーマーケット,1,1,ベルク,direct,mb-retail-0383,retail-sales-v273-db-title-r27.html?focus=mb-retail-0383#mb-retail-0383
5,japan-supermarkets,日本のスーパーマーケット,1,2,ベルジョイス,direct,mb-retail-0384,retail-sales-v273-db-title-r27.html?focus=mb-retail-0384#mb-retail-0384
5,japan-supermarkets,日本のスーパーマーケット,1,3,マミーマート,direct,mb-retail-0385,retail-sales-v273-db-title-r27.html?focus=mb-retail-0385#mb-retail-0385
5,japan-supermarkets,日本のスーパーマーケット,1,4,マルエツ,direct,mb-retail-0387,retail-sales-v273-db-title-r27.html?focus=mb-retail-0387#mb-retail-0387
5,japan-supermarkets,日本のスーパーマーケット,2,1,マルキョウ,direct,mb-retail-0388,retail-sales-v273-db-title-r27.html?focus=mb-retail-0388#mb-retail-0388
5,japan-supermarkets,日本のスーパーマーケット,2,2,ヤオコー,direct,mb-retail-0389,retail-sales-v273-db-title-r27.html?focus=mb-retail-0389#mb-retail-0389
5,japan-supermarkets,日本のスーパーマーケット,2,3,ヤマザワ,direct,mb-retail-0390,retail-sales-v273-db-title-r27.html?focus=mb-retail-0390#mb-retail-0390
5,japan-supermarkets,日本のスーパーマーケット,2,4,ヤマナカ,direct,mb-retail-0391,retail-sales-v273-db-title-r27.html?focus=mb-retail-0391#mb-retail-0391
5,japan-supermarkets,日本のスーパーマーケット,3,1,ライフ,direct,mb-retail-0393,retail-sales-v273-db-title-r27.html?focus=mb-retail-0393#mb-retail-0393
5,japan-supermarkets,日本のスーパーマーケット,3,2,ロピア,direct,mb-retail-0395,retail-sales-v273-db-title-r27.html?focus=mb-retail-0395#mb-retail-0395
5,japan-supermarkets,日本のスーパーマーケット,3,3,万代,direct,mb-retail-0396,retail-sales-v273-db-title-r27.html?focus=mb-retail-0396#mb-retail-0396
5,japan-supermarkets,日本のスーパーマーケット,3,4,大黒天物産,direct,mb-retail-0397,retail-sales-v273-db-title-r27.html?focus=mb-retail-0397#mb-retail-0397
5,japan-supermarkets,日本のスーパーマーケット,4,1,東急ストア,direct,mb-retail-0399,retail-sales-v273-db-title-r27.html?focus=mb-retail-0399#mb-retail-0399
5,japan-supermarkets,日本のスーパーマーケット,4,2,業務スーパー,direct,mb-retail-0400,retail-sales-v273-db-title-r27.html?focus=mb-retail-0400#mb-retail-0400
5,japan-supermarkets,日本のスーパーマーケット,4,3,西友,direct,mb-retail-0401,retail-sales-v273-db-title-r27.html?focus=mb-retail-0401#mb-retail-0401
5,japan-supermarkets,日本のスーパーマーケット,4,4,Kibsons,direct,mb-retail-0409,retail-sales-v273-db-title-r27.html?focus=mb-retail-0409#mb-retail-0409
6,asia-oceania-global,アジア・オセアニアと世界大手,1,1,Emart,direct,mb-retail-0325,retail-sales-v273-db-title-r27.html?focus=mb-retail-0325#mb-retail-0325
6,asia-oceania-global,アジア・オセアニアと世界大手,1,2,Woolworths Australia,direct,mb-retail-0329,retail-sales-v273-db-title-r27.html?focus=mb-retail-0329#mb-retail-0329
6,asia-oceania-global,アジア・オセアニアと世界大手,1,3,No Brand,direct,mb-retail-0328,retail-sales-v273-db-title-r27.html?focus=mb-retail-0328#mb-retail-0328
6,asia-oceania-global,アジア・オセアニアと世界大手,1,4,emart24,direct,mb-retail-0327,retail-sales-v273-db-title-r27.html?focus=mb-retail-0327#mb-retail-0327
6,asia-oceania-global,アジア・オセアニアと世界大手,2,1,Coles,direct,mb-retail-0334,retail-sales-v273-db-title-r27.html?focus=mb-retail-0334#mb-retail-0334
6,asia-oceania-global,アジア・オセアニアと世界大手,2,2,LOTTE Mart,direct,mb-retail-0342,retail-sales-v273-db-title-r27.html?focus=mb-retail-0342#mb-retail-0342
6,asia-oceania-global,アジア・オセアニアと世界大手,2,3,Carrefour,direct,mb-retail-0111,retail-sales-v273-db-title-r27.html?focus=mb-retail-0111#mb-retail-0111
6,asia-oceania-global,アジア・オセアニアと世界大手,2,4,Tesco,direct,mb-retail-0174,retail-sales-v273-db-title-r27.html?focus=mb-retail-0174#mb-retail-0174
6,asia-oceania-global,アジア・オセアニアと世界大手,3,1,Costco,direct,mb-retail-0084,retail-sales-v273-db-title-r27.html?focus=mb-retail-0084#mb-retail-0084
6,asia-oceania-global,アジア・オセアニアと世界大手,3,2,ALDI,direct,mb-retail-0132,retail-sales-v273-db-title-r27.html?focus=mb-retail-0132#mb-retail-0132
6,asia-oceania-global,アジア・オセアニアと世界大手,3,3,Lidl,direct,mb-retail-0159,retail-sales-v273-db-title-r27.html?focus=mb-retail-0159#mb-retail-0159
6,asia-oceania-global,アジア・オセアニアと世界大手,3,4,REWE,direct,mb-retail-0764,retail-sales-v273-db-title-r27.html?focus=mb-retail-0764#mb-retail-0764
6,asia-oceania-global,アジア・オセアニアと世界大手,4,1,Kaufland,direct,mb-retail-0752,retail-sales-v273-db-title-r27.html?focus=mb-retail-0752#mb-retail-0752
6,asia-oceania-global,アジア・オセアニアと世界大手,4,2,METRO,direct,mb-retail-0203,retail-sales-v273-db-title-r27.html?focus=mb-retail-0203#mb-retail-0203
6,asia-oceania-global,アジア・オセアニアと世界大手,4,3,Ahold Delhaize,search,Ahold Delhaize,retail-sales-v273-db-title-r27.html?q=Ahold Delhaize
6,asia-oceania-global,アジア・オセアニアと世界大手,4,4,AEON,direct,company-retail-aeon-jp,retail-sales-v273-db-title-r27.html?focus=company-retail-aeon-jp#company-retail-aeon-jp
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,1,1,Ahold Delhaize,search,Ahold Delhaize,retail-sales-v273-db-title-r27.html?q=Ahold Delhaize
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,1,2,The Giant Company,direct,mb-retail-0289,retail-sales-v273-db-title-r27.html?focus=mb-retail-0289#mb-retail-0289
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,1,3,Giant Food,direct,mb-retail-0290,retail-sales-v273-db-title-r27.html?focus=mb-retail-0290#mb-retail-0290
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,1,4,Hannaford,direct,mb-retail-0291,retail-sales-v273-db-title-r27.html?focus=mb-retail-0291#mb-retail-0291
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,2,1,Super Indo,direct,mb-retail-0292,retail-sales-v273-db-title-r27.html?focus=mb-retail-0292#mb-retail-0292
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,2,2,ALDI,direct,mb-retail-0132,retail-sales-v273-db-title-r27.html?focus=mb-retail-0132#mb-retail-0132
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,2,3,Maxi / Loblaws Canada,direct,mb-retail-0588,retail-sales-v273-db-title-r27.html?focus=mb-retail-0588#mb-retail-0588
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,2,4,Albert Heijn,direct,mb-retail-0293,retail-sales-v273-db-title-r27.html?focus=mb-retail-0293#mb-retail-0293
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,3,1,Delhaize,direct,mb-retail-0300,retail-sales-v273-db-title-r27.html?focus=mb-retail-0300#mb-retail-0300
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,3,2,Louis Delhaize,direct,mb-retail-0302,retail-sales-v273-db-title-r27.html?focus=mb-retail-0302#mb-retail-0302
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,3,3,Shop&Go,direct,mb-retail-0304,retail-sales-v273-db-title-r27.html?focus=mb-retail-0304#mb-retail-0304
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,3,4,Mega Image,direct,mb-retail-0305,retail-sales-v273-db-title-r27.html?focus=mb-retail-0305#mb-retail-0305
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,4,1,Circle K Canada,direct,mb-retail-0307,retail-sales-v273-db-title-r27.html?focus=mb-retail-0307#mb-retail-0307
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,4,2,Big C,direct,mb-retail-0311,retail-sales-v273-db-title-r27.html?focus=mb-retail-0311#mb-retail-0311
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,4,3,Loblaws,direct,mb-retail-0588,retail-sales-v273-db-title-r27.html?focus=mb-retail-0588#mb-retail-0588
7,ahold-delhaize-network,欧米・アジアの小売ネットワーク,4,4,Lotus’s Malaysia,direct,mb-retail-0319,retail-sales-v273-db-title-r27.html?focus=mb-retail-0319#mb-retail-0319
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,1,1,Trader Joe’s,direct,mb-retail-0122,retail-sales-v273-db-title-r27.html?focus=mb-retail-0122#mb-retail-0122
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,1,2,ALDI,direct,mb-retail-0132,retail-sales-v273-db-title-r27.html?focus=mb-retail-0132#mb-retail-0132
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,1,3,Lidl,direct,mb-retail-0159,retail-sales-v273-db-title-r27.html?focus=mb-retail-0159#mb-retail-0159
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,1,4,Tesco,direct,mb-retail-0174,retail-sales-v273-db-title-r27.html?focus=mb-retail-0174#mb-retail-0174
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,2,1,Booker,direct,mb-retail-0175,retail-sales-v273-db-title-r27.html?focus=mb-retail-0175#mb-retail-0175
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,2,2,Premier,direct,mb-retail-0176,retail-sales-v273-db-title-r27.html?focus=mb-retail-0176#mb-retail-0176
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,2,3,Londis,direct,mb-retail-0177,retail-sales-v273-db-title-r27.html?focus=mb-retail-0177#mb-retail-0177
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,2,4,One Stop,direct,mb-retail-0178,retail-sales-v273-db-title-r27.html?focus=mb-retail-0178#mb-retail-0178
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,3,1,Star Bazaar,direct,mb-retail-0179,retail-sales-v273-db-title-r27.html?focus=mb-retail-0179#mb-retail-0179
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,3,2,Žabka Czech Republic,direct,mb-retail-0181,retail-sales-v273-db-title-r27.html?focus=mb-retail-0181#mb-retail-0181
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,3,3,ICA,direct,mb-retail-0671,retail-sales-v273-db-title-r27.html?focus=mb-retail-0671#mb-retail-0671
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,3,4,METRO,direct,mb-retail-0203,retail-sales-v273-db-title-r27.html?focus=mb-retail-0203#mb-retail-0203
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,4,1,Makro Netherlands,direct,mb-retail-0189,retail-sales-v273-db-title-r27.html?focus=mb-retail-0189#mb-retail-0189
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,4,2,SPAR Netherlands,direct,mb-retail-0235,retail-sales-v273-db-title-r27.html?focus=mb-retail-0235#mb-retail-0235
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,4,3,INTERSPAR,direct,mb-retail-0237,retail-sales-v273-db-title-r27.html?focus=mb-retail-0237#mb-retail-0237
8,europe-wholesale,ヨーロッパ・卸売・コンビニ,4,4,Auchan / Ocean France,direct,mb-retail-0277,retail-sales-v273-db-title-r27.html?focus=mb-retail-0277#mb-retail-0277
